gpSex index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18.OI.6.FG3 NA 4.258 0.851 0.329 3.601 63.089 0.028 -0.253 -0.006 0.805 -1.065
SL18.JS.6.MG1 NA 3.391 -0.382 0 3.392 -48.907 0.435 0.243 1.012 1.094 1.861
SL18.OI.6.FG2 NA 3.073 1.373 0.508 2.057 80.12 0.48 -0.21 0.76 0.969 0.26
SL18.JS.6.MG3 NA 2.077 0.686 0.229 1.619 -9.71 0.673 -0.042 0.776 2.02 1.755
SL18.JS.6.MG2 NA 1.858 0.403 0.18 1.499 -18.879 0.647 0.159 -1.534 -0.619 -2.501
SL18.OI.6.MG2 NA 1.854 0.457 0.175 1.505 53.68 0.17 -0.032 -0.043 0.828 0.412
SA18.CB.9.FG1 NA 1.71 1.038 0.318 1.074 31.486 0.145 0.061 0.618 0.443 0.359
SL18.JS.6.FG3 NA 1.652 -0.03 0.073 1.506 -36.472 0.973 0.019 1.347 2.386 2.723
SA18.CB.1.MG13 NA 1.616 0.012 0.01 1.596 -15.675 0.44 0.1 0.245 1.083 0.783
SA18.CB.2.FG3 NA 1.551 0.903 0.258 1.035 21.769 -0.082 0.033 0.169 0.543 0.507
SL18.OI.4.FG2 NA 1.41 0.943 0.317 0.777 147.69 0.339 -0.169 0.015 0.808 0.323
SL18.CC.3.FG2 NA 1.291 1.011 0.315 0.661 76.199 -0.215 -0.11 1.557 1.12 0.765
SL18.CC.3.FG1 NA 1.14 0.813 0.225 0.691 40.776 0.202 -0.338 -0.774 -1.154 -1.252
SA18.CB.7.MG3 NA 1.12 0.533 0.205 0.709 48.031 -0.23 0.047 -0.152 -0.582 -0.682
SA18.CB.2.MG3 NA 1.109 0.767 0.213 0.684 30.354 0.182 0.318 -1.248 -1.676 -0.384
SL18.CC.3.FG3 NA 0.992 0.523 0.137 0.718 17.969 0.075 0.029 0.424 -0.28 1.003
SA18.CB.1.MG12 NA 0.912 0.062 0.002 0.908 9.949 0.481 -0.148 -0.036 0.082 0.267
SL18.CC.6.MG11 NA 0.852 -0.088 -0.014 0.881 0.936 -0.406 0.139 0.228 0.394 -0.307
SL18.NL.7.MG2 NA 0.818 -0.339 -0.116 1.051 -39.562 -0.008 -0.086 -0.85 -0.865 -1.535
SL18.LD.9.MG2 NA 0.803 0.014 -0.005 0.812 1.075 -0.355 -0.033 -0.029 -0.252 0.131
