gpSex index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18.OI.6.FG2 NA 1.178 1.295 0.546 0.085 25.776 0.13 -0.244 0.794 0.693 0.318
SA18.CB.9.FG1 NA 0.801 1.039 0.374 0.053 12.362 0.137 0.088 0.44 0.513 0.491
SL18.OI.6.FG3 NA 0.789 0.774 0.318 0.154 18.66 -0.082 -0.296 0.514 0.928 -0.113
SL18.CC.3.FG2 NA 0.768 1.021 0.36 0.048 43.977 -0.178 -0.103 1.216 1.055 0.723
SL18.CC.5.FG2 NA 0.744 1.161 0.375 -0.007 44.426 -0.197 0.26 -0.389 0.127 -0.028
SL18.SF.13.FG2 NA 0.739 1.033 0.347 0.045 37.936 0.02 -0.134 -0.678 -0.363 -0.674
SL18.OI.4.FG2 NA 0.725 0.824 0.349 0.027 62.434 0.317 -0.105 0.123 0.768 -0.077
SL18.CC.12.FG2 NA 0.71 1.119 0.355 0.001 60.937 0.165 0.025 -0.042 -0.408 -0.489
SL18.OI.11.FG3 NA 0.673 1.045 0.342 -0.011 24.219 0.117 -0.023 0.368 0.196 1.069
SL18.JS.6.MG3 NA 0.634 0.702 0.281 0.072 3.514 0.422 -0.03 -0.003 1.569 0.911
SL18.CC.11.FG3 NA 0.596 0.986 0.324 -0.052 89.156 -0.255 -0.223 0.265 1.033 0.715
SA18.CB.7.MG3 NA 0.589 0.731 0.282 0.025 32.798 -0.162 0.121 0.135 -0.362 -0.1
SA18.CB.2.FG3 NA 0.565 0.767 0.24 0.085 -0.175 -0.097 0.096 0.424 0.626 0.692
SL18.CC.3.FG1 NA 0.561 0.841 0.256 0.05 26.499 0.117 -0.306 -0.219 -0.811 -0.637
SL18.SF.17.FG2 NA 0.556 1.003 0.272 0.013 8.471 0.127 -0.303 -0.172 -0.358 -0.151
SL18.CC.2.MG5 NA 0.546 0.857 0.285 -0.023 23.755 -0.222 -0.424 1.09 0.329 1.883
SL18.JS.6.MG2 NA 0.525 0.469 0.232 0.062 0.742 0.32 0.168 -0.995 -0.409 -1.799
SL18.CC.11.MG5 NA 0.518 0.896 0.276 -0.033 61.776 -0.24 -0.207 0.631 0.867 1.658
SL18.CC.1.MG3 NA 0.445 0.81 0.23 -0.015 31.645 -0.508 0 1.362 1.226 1.296
SL18.CC.5.FG3 NA 0.435 0.994 0.24 -0.045 20.41 0.093 0.592 -0.294 0.713 0.001
