gpSex index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18-NL-6-FG1 F 0.174 0.828 0.165 -0.155 276.054 0.02 -0.013 -0.098 0.396 0.333
SA18-CB-7-MG2 M 0.222 0.596 0.142 -0.062 44.724 -0.069 0.569 0.345 0.024 0.979
SA18-CB-7-FG1 F 0.193 0.621 0.125 -0.057 41.489 -0.001 0.357 -0.306 -0.207 0.202
SA18-CB-7-MG1 M 0.137 0.593 0.105 -0.074 41.402 -0.071 0.56 0.124 0.047 0.746
SL18-SF-15-MG2 M 0.122 0.488 0.1 -0.078 32.837 -0.065 0.338 0.164 0.747 -0.077
SA18-CB-1-MG2 M 0.147 0.519 0.098 -0.048 64.595 0.043 -0.184 -0.053 -0.76 0.353
SL18-OI-15-MG1 M 0.126 0.337 0.076 -0.026 37.733 0.023 0.51 0.479 0.432 0.458
SL18-NL-2-FG1 F 0.093 0.347 0.076 -0.059 73.035 -0.027 0.386 0.065 0.302 -0.515
SA18-CB-10-FG1 F 0.087 0.473 0.075 -0.063 50.198 -0.007 -0.256 0.214 0.384 -0.416
SL18-OI-18-FG5 F 0.161 0.258 0.072 0.017 -6.073 -0.01 0.063 0.49 -0.008 0.213
SL18-OI-14-MG2 M 0.131 0.272 0.072 -0.013 13.711 -0.006 -0.513 0.137 0.273 0.461
SL18-OI-15-FG1 F 0.159 0.301 0.071 0.017 3.552 -0.011 0.071 -0.577 0.379 0.579
SL18-OI-18-FG2 F 0.118 0.31 0.068 -0.019 13.125 -0.035 -0.223 -0.166 -0.123 0.218
SL18-SF-19-MG2 M 0.182 0.368 0.067 0.049 116.613 -0.024 -0.092 0.597 -0.106 0.216
SL18-OI-18-FG1 F 0.104 0.336 0.066 -0.028 11.819 -0.023 0.269 0.734 0.527 0.353
SA18-CB-4-MG3 M 0.047 0.455 0.066 -0.085 22.687 -0.157 -0.073 -0.405 -0.028 -0.438
SL18-OI-15-MG2 M 0.116 0.292 0.063 -0.01 40.924 0.03 0.04 -0.294 -0.009 0.205
SL18-OI-17-FG1 F 0.07 0.327 0.058 -0.046 32.414 0.022 -0.084 -0.562 -0.018 0.784
SL18-SF-19-MG1 M 0.257 0.156 0.057 0.142 90.061 -0.039 -0.033 0.378 0.141 -0.034
SL18-SF-15-MG1 M 0.053 0.141 0.056 -0.059 15.028 -0.049 -0.098 -0.097 -0.215 -0.043
