index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18.OI.6.FG2 1.24507946154768 0.917 0.391 0.463 3.464 -0.392 -0.156 0.388 -0.154 0.442
SL18.CC.12.FG2 0.680525273451359 1.109 0.354 -0.027 69.487 0.13 0.069 -0.279 -0.5 -0.392
SL18.CC.11.FG3 0.401032160565156 0.953 0.29 -0.18 108.477 0.137 -0.114 -0.29 -0.627 -0.998
SL18.SF.13.FG2 0.529973730282102 0.883 0.262 0.007 41.908 0.138 0.145 -0.409 -0.222 -0.507
SA18.CB.7.MG3 0.654036761211188 0.654 0.26 0.134 37.624 0.089 0.134 -0.38 -0.521 -0.287
SA18.CB.7.MG2 0.621620610967535 0.589 0.259 0.103 75.302 0.054 0.544 -0.334 0.405 0.227
SL18.JS.6.MG3 0.893462259447789 0.658 0.259 0.376 -4.467 0.266 -0.052 -0.24 0.531 0.059
SA18.CB.9.FG1 0.702425857688924 0.641 0.25 0.203 -6.992 0.24 0.533 -0.98 -0.844 -1.21
SL18.JS.6.MG2 0.806130691734911 0.521 0.232 0.341 -3.469 0.239 0.097 -0.759 -0.332 -0.758
SL18.CC.11.MG5 0.288194833659006 0.849 0.229 -0.17 73.121 0.113 -0.012 0.258 0.254 -0.283
SA18.CB.10.MG3 0.362639369659978 0.409 0.208 -0.054 17.504 -0.285 -0.563 0.336 0.15 0.136
SL18.OI.11.FG3 0.362754166349335 0.656 0.206 -0.05 11.559 -0.133 0.015 -0.376 0.299 -0.198
SL18.OI.4.FG2 0.600331792025467 0.48 0.205 0.189 70.228 0.003 0.255 -0.996 -0.44 -0.879
SL18.OI.6.FG3 1.21558614184555 0.388 0.202 0.811 -7.76 -0.093 -0.329 0.101 0.112 0.18
SL18.CC.3.FG2 0.514709884606386 0.476 0.202 0.111 23.396 0.388 -0.062 -0.274 -0.402 -0.754
SL18.CC.2.MG5 0.204358463154542 0.624 0.192 -0.18 12.397 -0.024 -0.123 -0.558 0.13 -0.445
SA18.CB.10.MG1 0.242021210231987 0.433 0.187 -0.131 -1.92 -0.214 -0.091 0.333 -0.086 0.3
SL18.OI.15.MG2 0.461510983825233 0.582 0.174 0.113 33.387 -0.496 -0.134 0.15 -0.569 0.289
SL18.CC.5.FG2 0.226116019473108 0.535 0.169 -0.112 13.65 0.19 0.386 -1.039 0.182 -1.242
SL18.OI.7.MG3 0.234486916949531 0.56 0.161 -0.088 51.882 0.372 -0.174 -0.889 -0.76 -0.838
