pedigree gpSex index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
131 SL18-LD-2-FG2xSL18-SF-19-MG1 NA 0.226 0.061 0.035 0.155 32.048 -0.032 0.047 0.175 0.128 0.211
196 SL18-NL-6-FG1xSA18-CB-7-MG2 NA 0.198 0.712 0.153 -0.109 160.389 -0.024 0.278 0.124 0.21 0.656
9 SL18-NL-6-FG1xSL18-SF-19-MG2 NA 0.178 0.598 0.116 -0.053 196.334 -0.002 -0.053 0.25 0.145 0.274
5 SL18-NL-6-FG1xSL18-OI-14-MG2 NA 0.152 0.55 0.118 -0.084 144.883 0.007 -0.263 0.02 0.334 0.397
6 SL18-NL-6-FG1xSL18-OI-15-MG1 NA 0.15 0.583 0.12 -0.091 156.894 0.021 0.249 0.19 0.414 0.396
65 SL18-OI-18-FG5xSL18-SF-15-MG2 NA 0.141 0.373 0.086 -0.031 13.382 -0.037 0.2 0.327 0.369 0.068
2 SA18-CB-10-FG1xSL18-SF-19-MG2 NA 0.134 0.421 0.071 -0.007 83.406 -0.015 -0.174 0.406 0.139 -0.1
147 SA18-CB-7-FG1xSL18-LL-9-MG3 NA 0.133 0.21 0.047 0.04 -19.691 0.069 0.133 0.068 0.29 0.34
182 SL18-NL-3-FG1xSA18-CB-7-MG2 NA 0.128 0.374 0.088 -0.049 43.861 -0.016 0.36 -0.077 -0.036 0.267
54 SL18-OI-18-FG2xSA18-CB-7-MG1 NA 0.127 0.451 0.087 -0.046 27.264 -0.053 0.168 -0.021 -0.038 0.482
198 SL18-NL-6-FG1xSL18-LD-2-MG1 NA 0.127 0.336 0.073 -0.018 130.195 -0.011 -0.092 -0.043 -0.19 -0.183
47 SL18-LD-13-FG2xSL18-LD-13-MG2 NA 0.12 0.155 0.031 0.059 60.797 0.037 0.263 -0.502 -0.096 0.037
63 SL18-OI-18-FG5xSL18-LD-2-MG1 NA 0.12 0.051 0.026 0.067 -10.869 -0.026 -0.054 0.251 -0.392 -0.243
172 SL18-NL-2-FG1xSA18-CB-1-MG2 NA 0.12 0.433 0.087 -0.054 68.815 0.008 0.101 0.006 -0.229 -0.081
14 SL18-LD-10-FG2xSA18-CB-7-MG2 NA 0.116 0.2 0.051 0.015 3.658 -0.008 0.38 0.609 -0.118 0.532
31 SL18-OI-15-FG1xSA18-CB-2-MG3 NA 0.113 0.207 0.045 0.022 -17.682 -0.023 0.313 -0.101 0.175 0.24
174 SL18-NL-2-FG1xSL18-LD-13-MG2 NA 0.109 0.259 0.055 -0.001 74.691 0.004 0.292 -0.004 -0.031 0.108
34 SL18-OI-15-FG1xSL18-SF-15-MG1 NA 0.106 0.221 0.063 -0.021 9.29 -0.03 -0.014 -0.337 0.082 0.268
51 SL18-OI-17-FG1xSL18-SF-13-MG2 NA 0.105 0.123 0.033 0.039 15.548 0.042 -0.06 -0.69 0.049 0.405
62 SL18-OI-18-FG5xSA18-CB-4-MG3 NA 0.104 0.357 0.069 -0.034 8.307 -0.084 -0.005 0.043 -0.018 -0.113
