pedigree index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18.OI.6.FG3xSL18.JS.6.MG1 SL18-OI-6-FG3xSL18-JS-6-MG1 1.14071518549879 0.235 0.168 0.805 -10.974 0.124 -0.256 -0.255 0.064 0.033
SL18.OI.6.FG2xSL18.LD.2.MG2 SL18-OI-6-FG2xSL18-LD-2-MG2 0.904915562359644 0.523 0.236 0.432 -16.516 -0.336 -0.007 -0.108 -0.109 -0.205
SL18.OI.6.FG3xSL18.CC.11.MG5 SL18-OI-6-FG3xSL18-CC-11-MG5 0.751890487752278 0.619 0.216 0.32 32.681 0.01 -0.17 0.18 0.183 -0.051
SL18.OI.6.FG2xSA18.CB.4.MG2 SL18-OI-6-FG2xSA18-CB-4-MG2 0.672805744255368 0.555 0.25 0.173 -6.263 -0.091 0.005 -0.066 -0.369 -0.021
SL18.OI.4.FG2xSA18.CB.7.MG2 SL18-OI-4-FG2xSA18-CB-7-MG2 0.610976201496501 0.535 0.232 0.146 72.765 0.028 0.399 -0.665 -0.018 -0.326
SL18.CC.3.FG1xSL18.JS.6.MG3 SL18-CC-3-FG1xSL18-JS-6-MG3 0.5841641876529 0.456 0.177 0.231 -6.225 0.257 -0.195 -0.309 0.209 -0.053
SL18.CC.12.FG2xSL18.OI.15.MG2 SL18-CC-12-FG2xSL18-OI-15-MG2 0.571018128638296 0.845 0.264 0.043 51.437 -0.183 -0.032 -0.065 -0.534 -0.052
SL18.OI.17.FG4xSL18.JS.6.MG2 SL18-OI-17-FG4xSL18-JS-6-MG2 0.540455275085827 0.489 0.196 0.149 -2.546 0.119 0.075 -0.53 -0.269 -0.644
SA18.CB.4.FG6xSL18.JS.6.MG3 SA18-CB-4-FG6xSL18-JS-6-MG3 0.496881193420341 0.522 0.193 0.112 -18.083 0.136 -0.062 0.001 0.263 -0.101
SA18.CB.9.FG1xSL18.OI.7.MG3 SA18-CB-9-FG1xSL18-OI-7-MG3 0.468456387319228 0.601 0.205 0.058 22.445 0.306 0.179 -0.935 -0.802 -1.024
SL18.CC.3.FG2xSA18.CB.10.MG3 SL18-CC-3-FG2xSA18-CB-10-MG3 0.438674627133182 0.442 0.205 0.028 20.45 0.052 -0.312 0.031 -0.126 -0.309
SL18.CC.3.FG2xSL18.OD.6.MG1 SL18-CC-3-FG2xSL18-OD-6-MG1 0.412980863654584 0.437 0.159 0.096 11.806 0.198 -0.033 0.05 0.046 -0.407
SL18.SF.17.FG2xSA18.CB.7.MG3 SL18-SF-17-FG2xSA18-CB-7-MG3 0.406887630426089 0.544 0.18 0.047 10.077 0.116 0.106 -0.538 -0.31 -0.57
SL18.SF.17.FG2xSA18.CB.7.MG2 SL18-SF-17-FG2xSA18-CB-7-MG2 0.390679555304263 0.512 0.18 0.031 28.916 0.098 0.311 -0.515 0.152 -0.313
SL18.LD.1.FG3xSL18.OI.6.MG2 SL18-LD-1-FG3xSL18-OI-6-MG2 0.365826402485456 -0.084 0.014 0.337 -20.693 -0.289 -0.052 0.007 -0.208 -0.319
SL18.CC.12.FG3xSL18.OI.15.MG2 SL18-CC-12-FG3xSL18-OI-15-MG2 0.364118582698169 0.474 0.146 0.072 39.753 -0.081 0.184 -0.128 -0.423 -0.222
SL18.LD.10.FG2xSA18.CB.7.MG2 SL18-LD-10-FG2xSA18-CB-7-MG2 0.340888742436006 0.195 0.105 0.131 35.049 -0.03 0.402 0.597 0.109 0.334
SL18.LD.9.FG4xSL18.OI.6.MG2 SL18-LD-9-FG4xSL18-OI-6-MG2 0.328769527335133 0.142 0.047 0.235 -15.302 -0.328 -0.187 -0.094 -0.091 -0.256
SL18.OI.18.FG5xSL18.LD.2.MG1 SL18-OI-18-FG5xSL18-LD-2-MG1 0.321874881130485 -0.254 -0.018 0.359 -50.908 -0.109 0.247 0.194 0.223 0.329
SL18.LD.2.FG2xSL18.SF.19.MG1 SL18-LD-2-FG2xSL18-SF-19-MG1 0.314887839687117 -0.401 -0.069 0.453 -26.915 0.06 -0.015 0.205 0.154 0.395
