pedigree index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18.CC.12.FG2xSL18.OI.15.MG2 SL18-CC-12-FG2xSL18-OI-15-MG2 0.571018128638296 0.845 0.264 0.043 51.437 -0.183 -0.032 -0.065 -0.534 -0.052
SL18.OI.6.FG2xSA18.CB.4.MG2 SL18-OI-6-FG2xSA18-CB-4-MG2 0.672805744255368 0.555 0.25 0.173 -6.263 -0.091 0.005 -0.066 -0.369 -0.021
SL18.OI.6.FG2xSL18.LD.2.MG2 SL18-OI-6-FG2xSL18-LD-2-MG2 0.904915562359644 0.523 0.236 0.432 -16.516 -0.336 -0.007 -0.108 -0.109 -0.205
SL18.OI.4.FG2xSA18.CB.7.MG2 SL18-OI-4-FG2xSA18-CB-7-MG2 0.610976201496501 0.535 0.232 0.146 72.765 0.028 0.399 -0.665 -0.018 -0.326
SL18.OI.6.FG3xSL18.CC.11.MG5 SL18-OI-6-FG3xSL18-CC-11-MG5 0.751890487752278 0.619 0.216 0.32 32.681 0.01 -0.17 0.18 0.183 -0.051
SL18.CC.11.FG3xSA18.CB.3.MG3 SL18-CC-11-FG3xSA18-CB-3-MG3 0.130219699418751 0.706 0.209 -0.288 101.829 0.151 0.224 -0.367 -0.436 -0.485
SA18.CB.9.FG1xSL18.OI.7.MG3 SA18-CB-9-FG1xSL18-OI-7-MG3 0.468456387319228 0.601 0.205 0.058 22.445 0.306 0.179 -0.935 -0.802 -1.024
SL18.CC.3.FG2xSA18.CB.10.MG3 SL18-CC-3-FG2xSA18-CB-10-MG3 0.438674627133182 0.442 0.205 0.028 20.45 0.052 -0.312 0.031 -0.126 -0.309
SL18.CC.11.FG3xSL18.NC.2.MG3 SL18-CC-11-FG3xSL18-NC-2-MG3 0.223110360957694 0.706 0.198 -0.172 66.771 0.073 -0.089 0.043 -0.253 0.019
SL18.OI.17.FG4xSL18.JS.6.MG2 SL18-OI-17-FG4xSL18-JS-6-MG2 0.540455275085827 0.489 0.196 0.149 -2.546 0.119 0.075 -0.53 -0.269 -0.644
SA18.CB.4.FG6xSL18.JS.6.MG3 SA18-CB-4-FG6xSL18-JS-6-MG3 0.496881193420341 0.522 0.193 0.112 -18.083 0.136 -0.062 0.001 0.263 -0.101
SL18.CC.12.FG2xSL18.LL.9.MG4 SL18-CC-12-FG2xSL18-LL-9-MG4 0.29720079164124 0.585 0.191 -0.086 42.391 0.14 0.054 -0.028 -0.03 -0.103
SL18.SF.17.FG2xSA18.CB.7.MG3 SL18-SF-17-FG2xSA18-CB-7-MG3 0.406887630426089 0.544 0.18 0.047 10.077 0.116 0.106 -0.538 -0.31 -0.57
SL18.SF.17.FG2xSA18.CB.7.MG2 SL18-SF-17-FG2xSA18-CB-7-MG2 0.390679555304263 0.512 0.18 0.031 28.916 0.098 0.311 -0.515 0.152 -0.313
SL18.CC.5.FG2xSA18.CB.10.MG1 SL18-CC-5-FG2xSA18-CB-10-MG1 0.234068614852547 0.484 0.178 -0.122 5.865 -0.012 0.147 -0.353 0.048 -0.471
SL18.NL.6.FG1xSA18.CB.7.MG2 SL18-NL-6-FG1xSA18-CB-7-MG2 0.201080035582938 0.577 0.178 -0.154 144.81 0 0.163 0.082 0.281 0.445
SL18.CC.3.FG1xSL18.JS.6.MG3 SL18-CC-3-FG1xSL18-JS-6-MG3 0.5841641876529 0.456 0.177 0.231 -6.225 0.257 -0.195 -0.309 0.209 -0.053
SL18.OI.11.FG3xSL18.NC.2.MG1 SL18-OI-11-FG3xSL18-NC-2-MG1 0.253280389164524 0.561 0.171 -0.089 16.353 -0.008 -0.115 -0.293 0.115 -0.072
SL18.OI.6.FG3xSL18.JS.6.MG1 SL18-OI-6-FG3xSL18-JS-6-MG1 1.14071518549879 0.235 0.168 0.805 -10.974 0.124 -0.256 -0.255 0.064 0.033
SL18.OI.11.FG3xSL18.CC.1.MG3 SL18-OI-11-FG3xSL18-CC-1-MG3 0.310570232153329 0.513 0.159 -0.008 7.229 -0.354 -0.188 0.078 0.52 -0.038
