index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18-NL-6-FG1 0.174 0.828 0.165 -0.155 276.054 0.02 -0.013 -0.098 0.396 0.333
SA18-CB-7-FG1 0.193 0.621 0.125 -0.057 41.489 -0.001 0.357 -0.306 -0.207 0.202
SL18-NL-2-FG1 0.093 0.347 0.076 -0.059 73.035 -0.027 0.386 0.065 0.302 -0.515
SA18-CB-10-FG1 0.087 0.473 0.075 -0.063 50.198 -0.007 -0.256 0.214 0.384 -0.416
SL18-OI-18-FG5 0.161 0.258 0.072 0.017 -6.073 -0.01 0.063 0.49 -0.008 0.213
SL18-OI-15-FG1 0.159 0.301 0.071 0.017 3.552 -0.011 0.071 -0.577 0.379 0.579
SL18-OI-18-FG2 0.118 0.31 0.068 -0.019 13.125 -0.035 -0.223 -0.166 -0.123 0.218
SL18-OI-18-FG1 0.104 0.336 0.066 -0.028 11.819 -0.023 0.269 0.734 0.527 0.353
SL18-OI-17-FG1 0.07 0.327 0.058 -0.046 32.414 0.022 -0.084 -0.562 -0.018 0.784
SA18-CB-10-FG2 0.065 0.294 0.051 -0.037 14.701 -0.021 -0.261 -0.627 -1.176 -2.063
SL18-LD-1-FG2 0.045 0.271 0.044 -0.042 40.855 0.054 0.276 0.647 0.511 1.203
SL18-OI-18-FG3 0.072 0.196 0.043 -0.014 -12.162 -0.023 0.013 0.011 -0.36 -0.382
SL18-NL-3-FG1 0.034 0.152 0.035 -0.036 42.997 0.037 0.15 -0.499 -0.096 -0.445
SL18-LD-13-FG2 0.115 0.139 0.027 0.061 45.246 0.04 0.329 -0.931 0.173 -0.658
SL18-SF-17-FG3 -0.007 0.193 0.026 -0.059 16.071 0.028 0.594 0.065 0.19 0.912
SL18-NL-10-FG1 -0.052 0.247 0.023 -0.099 99.485 -0.081 0.135 -0.023 0.343 0.458
SL18-NL-3-FG2 -0.024 0.076 0.02 -0.063 49.932 0.011 0.107 0.598 -0.544 -0.292
SA18-CB-4-FG3 -0.024 0.19 0.017 -0.058 -13.65 -0.101 0.237 0.611 0.513 -0.169
SL18-OI-18-FG6 0.002 0.135 0.017 -0.031 9.786 -0.002 -0.272 -0.885 -1.318 0.091
SL18-LD-2-FG2 0.195 -0.033 0.013 0.169 -25.965 -0.024 0.128 -0.029 0.115 0.456
SL18-NL-3-FG3 -0.04 0.017 0.002 -0.044 29.759 0.02 0.155 0.214 0.181 0.377
SL18-OI-16-FG3 -0.129 -0.002 0.001 -0.131 21.032 0.049 -0.258 0.342 0.223 0.127
SL18-SF-13-FG1 0.116 -0.113 0 0.116 -20.854 0.046 -0.121 -0.401 -0.197 -0.411
SL18-OI-11-FG1 -0.054 0.145 0 -0.053 6.931 0.01 -0.286 0.208 -0.034 1.124
SL18-OI-6-FG1 -0.119 0.188 -0.004 -0.11 -29.03 -0.091 -0.052 -0.271 0.22 0.057
SL18-OI-17-FG2 -0.059 0.032 -0.006 -0.046 -8.269 0.005 -0.035 0.671 1.161 0.123
SL18-LD-4-FG1 0.013 0.067 -0.011 0.034 6.53 0.042 0.408 -0.061 0.057 0.408
SL18-NL-9-FG2 -0.145 0.149 -0.012 -0.121 96.728 0.012 -0.259 0.348 0.004 -1.092
SL18-OI-16-FG2 -0.098 -0.346 -0.019 -0.06 -37.434 0 -0.765 0.216 0.761 -0.195
SL18-LD-1-FG3 -0.06 -0.032 -0.02 -0.02 26.201 0.08 0.154 -0.207 0.2 0.14
SL18-LD-4-FG2 0.034 -0.042 -0.02 0.075 -32.692 0.047 -0.193 -0.07 0.044 0.514
SL18-LD-3-FG2 -0.018 0.042 -0.02 0.023 -2.494 0.073 0.045 -0.459 0.249 0.356
SL18-LD-4-FG3 0.011 -0.079 -0.025 0.061 -45.791 0.044 -0.389 -0.079 -0.143 0.973
SL18-OI-9-FG1 -0.068 -0.117 -0.027 -0.014 21.988 0.06 -0.29 -0.209 -0.632 0.298
SL18-LD-9-FG3 0.085 -0.148 -0.028 0.14 -54.753 0.074 -0.123 -0.074 0.597 1.13
SL18-NL-2-FG3 -0.144 -0.075 -0.029 -0.085 -23.187 -0.054 0.326 0.344 0.01 -0.093
SL18-OI-7-FG3 -0.022 -0.163 -0.031 0.041 36.12 0.004 0.072 -0.754 -0.198 -1.106
SL18-SF-17-FG1 -0.068 -0.206 -0.034 0 -55.628 -0.027 -0.1 -0.538 -0.769 -0.686
SL18-NL-10-FG3 -0.126 -0.135 -0.035 -0.055 22.022 -0.072 0.241 1.274 1.493 0.564
SL18-LD-10-FG2 0.011 -0.196 -0.041 0.092 -37.407 0.053 0.191 0.873 -0.261 0.085
SL18-LD-5-FG2 -0.078 -0.072 -0.043 0.008 -73.273 0.061 -0.339 -0.18 0.779 0.428
SL18-LD-1-FG1 -0.099 -0.149 -0.044 -0.012 -0.112 0.052 -0.395 -0.923 -0.146 -0.353
SL18-OI-4-FG3 -0.116 -0.238 -0.047 -0.022 -46.128 -0.012 0.558 -0.153 0.605 0.248
SL18-NL-6-FG3 -0.068 -0.294 -0.047 0.027 20.55 0.037 -0.444 -0.241 0.097 0.222
SL18-LD-3-FG1 0.001 -0.252 -0.049 0.098 -69.032 0.072 -0.382 -0.063 0.141 0.71
SL18-LD-5-FG1 -0.082 -0.137 -0.053 0.024 -78.674 0.048 -0.223 0.365 0.432 0.839
SL18-SF-18-FG2 -0.081 -0.255 -0.054 0.026 -33.045 0.012 -0.493 0.152 -1.194 0.33
SL18-LD-3-FG3 -0.028 -0.259 -0.056 0.084 -54.036 0.077 0.05 -0.067 -0.476 -0.966
SL18-LD-9-FG2 -0.012 -0.272 -0.057 0.101 -80.842 0.034 0.283 -0.165 0.105 1.124
SA18-CB-5-FG1 -0.127 -0.321 -0.061 -0.005 -45.851 -0.016 -0.018 0.149 1.051 0.131
SL18-LD-10-FG1 -0.035 -0.283 -0.064 0.093 -80.48 0.094 0.291 0.275 0.51 0.109
SL18-LL-9-FG1 -0.022 -0.349 -0.066 0.111 -68.631 0.086 0.176 0.636 -0.1 0.717
SL18-LL-9-FG3 -0.14 -0.285 -0.068 -0.004 -45.905 0.066 0.407 0.935 1.145 1.058
SL18-NL-7-FG3 -0.178 -0.435 -0.076 -0.026 -45.433 -0.015 0.529 -1.067 -0.834 -1.038
SL18-NL-10-FG2 -0.214 -0.381 -0.077 -0.061 -10.037 -0.031 -0.669 -0.545 -2.065 -2.563
SL18-LD-10-FG3 -0.063 -0.361 -0.077 0.091 -89.782 0.074 -0.148 -0.07 -0.364 1.066
SL18-NL-9-FG3 -0.197 -0.403 -0.081 -0.035 -13.775 0.028 -0.086 0.091 0.047 -0.289
SL18-OI-16-FG1 -0.197 -0.522 -0.085 -0.026 -83.358 0.035 -0.315 -0.061 -0.822 0.092
SL18-OI-2-FG3 0.006 -0.804 -0.115 0.236 -118.755 0.042 -0.235 -0.435 0.023 -0.622
SL18-OI-2-FG2 -0.135 -0.951 -0.158 0.181 -167.442 -0.01 -0.544 -0.277 -0.754 -0.741
