gpSex index WWP DWpM PDW BDns SPdv BLen BMax BThk SLen SDia
SL18-SF-19-MG1 M 0.257 0.156 0.057 0.142 90.061 0.296 -0.039 -0.033 0.378 0.141 -0.034
SA18-CB-7-MG2 M 0.222 0.596 0.142 -0.062 44.724 2.474 -0.069 0.569 0.345 0.024 0.979
SL18-LD-2-FG2 F 0.195 -0.033 0.013 0.169 -25.965 -1.195 -0.024 0.128 -0.029 0.115 0.456
SA18-CB-7-FG1 F 0.193 0.621 0.125 -0.057 41.489 2.111 -0.001 0.357 -0.306 -0.207 0.202
SL18-SF-19-MG2 M 0.182 0.368 0.067 0.049 116.613 0.694 -0.024 -0.092 0.597 -0.106 0.216
SL18-NL-6-FG1 F 0.174 0.828 0.165 -0.155 276.054 2.695 0.02 -0.013 -0.098 0.396 0.333
SL18-OI-18-FG5 F 0.161 0.258 0.072 0.017 -6.073 -0.272 -0.01 0.063 0.49 -0.008 0.213
SL18-OI-15-FG1 F 0.159 0.301 0.071 0.017 3.552 2.044 -0.011 0.071 -0.577 0.379 0.579
SA18-CB-1-MG2 M 0.147 0.519 0.098 -0.048 64.595 -0.804 0.043 -0.184 -0.053 -0.76 0.353
SL18-SF-13-MG2 M 0.141 -0.08 0.008 0.124 -1.319 0.086 0.062 -0.036 -0.819 0.117 0.025
SA18-CB-7-MG1 M 0.137 0.593 0.105 -0.074 41.402 1.513 -0.071 0.56 0.124 0.047 0.746
SL18-OI-14-MG2 M 0.131 0.272 0.072 -0.013 13.711 0.548 -0.006 -0.513 0.137 0.273 0.461
SL18-OI-15-MG1 M 0.126 0.337 0.076 -0.026 37.733 0.898 0.023 0.51 0.479 0.432 0.458
SL18-LD-13-MG2 M 0.126 0.172 0.034 0.057 76.347 0.799 0.035 0.198 -0.073 -0.364 0.732
SL18-SF-15-MG2 M 0.122 0.488 0.1 -0.078 32.837 1.451 -0.065 0.338 0.164 0.747 -0.077
SL18-OI-18-FG2 F 0.118 0.31 0.068 -0.019 13.125 -0.761 -0.035 -0.223 -0.166 -0.123 0.218
SL18-OI-15-MG2 M 0.116 0.292 0.063 -0.01 40.924 0.474 0.03 0.04 -0.294 -0.009 0.205
SL18-SF-13-FG1 F 0.116 -0.113 0 0.116 -20.854 0.655 0.046 -0.121 -0.401 -0.197 -0.411
SL18-LD-13-FG2 F 0.115 0.139 0.027 0.061 45.246 0.53 0.04 0.329 -0.931 0.173 -0.658
SL18-OI-18-FG1 F 0.104 0.336 0.066 -0.028 11.819 0.574 -0.023 0.269 0.734 0.527 0.353
