gpSex index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
SL18.OI.6.FG2 NA 3.073 1.373 0.508 2.057 80.12 0.48 -0.21 0.76 0.969 0.26
SL18.OI.6.FG3 NA 4.258 0.851 0.329 3.601 63.089 0.028 -0.253 -0.006 0.805 -1.065
SL18.CC.5.FG2 NA 0.66 1.147 0.324 0.012 81.303 -0.167 0.295 -1.049 -0.115 -0.983
SL18.OI.11.FG3 NA 0.64 1.153 0.318 0.004 55.476 0.313 0.087 0.283 0.28 0.923
SL18.SF.13.FG2 NA 0.415 1.191 0.318 -0.221 88.546 -0.187 -0.063 -0.227 0.286 -0.785
SA18.CB.9.FG1 NA 1.71 1.038 0.318 1.074 31.486 0.145 0.061 0.618 0.443 0.359
SL18.OI.4.FG2 NA 1.41 0.943 0.317 0.777 147.69 0.339 -0.169 0.015 0.808 0.323
SL18.CC.3.FG2 NA 1.291 1.011 0.315 0.661 76.199 -0.215 -0.11 1.557 1.12 0.765
SL18.CC.12.FG2 NA 0.308 1.113 0.305 -0.303 113.237 0.502 -0.028 -0.292 -0.735 -0.839
SL18.SF.17.FG2 NA 0.738 1.229 0.283 0.172 45.315 0.334 -0.292 -0.197 -0.677 -0.089
SL18.CC.11.FG3 NA -0.55 0.9 0.27 -1.09 153.581 -0.26 -0.164 -0.07 0.93 0.589
SA18.CB.2.FG3 NA 1.551 0.903 0.258 1.035 21.769 -0.082 0.033 0.169 0.543 0.507
SL18.CC.2.MG5 NA -0.27 0.849 0.234 -0.738 36.934 -0.34 -0.375 1.424 0.808 1.937
SL18.JS.6.MG3 NA 2.077 0.686 0.229 1.619 -9.71 0.673 -0.042 0.776 2.02 1.755
SL18.CC.11.MG5 NA -0.56 0.83 0.225 -1.01 110.329 -0.38 -0.182 1.177 1.192 2.577
SL18.CC.3.FG1 NA 1.14 0.813 0.225 0.691 40.776 0.202 -0.338 -0.774 -1.154 -1.252
SL18.CC.5.FG3 NA -0.446 1.022 0.221 -0.888 31.006 0.206 0.566 -0.361 0.571 -0.056
SA18.CB.2.MG3 NA 1.109 0.767 0.213 0.684 30.354 0.182 0.318 -1.248 -1.676 -0.384
SA18.CB.7.MG3 NA 1.12 0.533 0.205 0.709 48.031 -0.23 0.047 -0.152 -0.582 -0.682
SL18.OI.17.FG4 NA -0.269 0.846 0.202 -0.673 35.753 -0.215 0.108 1.287 0.455 2.007
