pedigree gpSex index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
296 SL18-OI-6-FG2xSL18-LD-2-MG2 NA 0.749 0.81 0.338 0.073 7.987 0.152 -0.129 -0.054 0.158 -0.464
286 SL18-OI-6-FG2xSA18-CB-4-MG2 NA 0.739 0.812 0.359 0.022 16.874 0.073 -0.044 0.177 0.006 -0.239
320 SL18-OI-6-FG3xSL18-CC-11-MG5 NA 0.654 0.835 0.297 0.06 40.218 -0.161 -0.251 0.572 0.898 0.772
291 SL18-CC-3-FG2xSL18-OD-6-MG1 NA 0.598 0.843 0.283 0.033 29.064 -0.328 -0.017 0.644 0.633 -0.013
260 SL18-CC-3-FG1xSL18-JS-6-MG3 NA 0.598 0.771 0.268 0.061 15.006 0.269 -0.168 -0.111 0.379 0.137
399 SL18-SF-17-FG2xSA18-CB-7-MG3 NA 0.573 0.867 0.277 0.019 20.635 -0.018 -0.091 -0.019 -0.36 -0.126
202 SL18-OI-11-FG3xSL18-CC-1-MG3 NA 0.559 0.927 0.286 -0.013 27.932 -0.196 -0.012 0.865 0.711 1.182
520 SA18-CB-2-FG3xSL18-CC-2-MG5 NA 0.556 0.812 0.262 0.031 11.79 -0.16 -0.164 0.757 0.477 1.288
531 SL18-SF-13-FG2xSA18-CB-2-MG3 NA 0.541 0.795 0.246 0.05 16.215 -0.012 0.213 -0.186 -0.369 -0.401
346 SL18-CC-3-FG2xSA18-CB-4-MG2 NA 0.534 0.675 0.266 0.003 25.975 -0.081 0.026 0.387 0.187 -0.036
385 SL18-OI-4-FG2xSA18-CB-7-MG2 NA 0.515 0.536 0.25 0.014 53.696 0.108 0.062 -0.103 0.06 0.04
302 SL18-CC-12-FG2xSL18-OI-15-MG2 NA 0.514 0.816 0.263 -0.012 40.842 0.119 0.077 -0.152 -0.204 -0.38
400 SA18-CB-4-FG6xSL18-JS-6-MG3 NA 0.509 0.675 0.248 0.012 1.328 0.216 -0.025 -0.013 0.718 0.313
269 SL18-CC-3-FG2xSA18-CB-10-MG3 NA 0.502 0.556 0.241 0.02 28.434 -0.195 -0.25 0.253 0.396 -0.041
523 SA18-CB-9-FG1xSL18-OI-7-MG3 NA 0.483 0.653 0.232 0.019 12.543 0.148 0.084 0.176 0.345 0.178
510 SL18-OI-6-FG3xSL18-JS-6-MG1 NA 0.472 0.265 0.16 0.153 4.829 0.107 -0.048 0.484 0.81 0.543
264 SL18-OI-17-FG4xSL18-JS-6-MG2 NA 0.468 0.619 0.232 0.004 7.077 0.096 0.095 -0.222 -0.072 -0.304
217 SL18-CC-5-FG2xSA18-CB-10-MG1 NA 0.448 0.704 0.234 -0.019 16.951 -0.155 0.091 -0.048 -0.025 -0.184
329 SL18-CC-12-FG2xSL18-JS-6-MG1 NA 0.433 0.437 0.178 0.076 25.968 0.231 0.113 0.206 0.142 0.355
328 SL18-SF-17-FG2xSA18-CB-7-MG2 NA 0.43 0.625 0.212 0.007 26.715 0.013 -0.037 -0.25 -0.503 0.003
