pedigree gpSex index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
286 SL18-OI-6-FG2xSA18-CB-4-MG2 NA 1.537 0.775 0.32 0.897 43.601 0.389 0.008 -0.013 0.12 -0.336
296 SL18-OI-6-FG2xSL18-LD-2-MG2 NA 1.733 0.877 0.309 1.116 42.429 0.398 -0.137 -0.073 0.271 -0.471
320 SL18-OI-6-FG3xSL18-CC-11-MG5 NA 1.849 0.84 0.277 1.295 86.709 -0.176 -0.217 0.585 0.999 0.756
531 SL18-SF-13-FG2xSA18-CB-2-MG3 NA 0.762 0.979 0.265 0.231 59.45 -0.002 0.128 -0.738 -0.695 -0.584
520 SA18-CB-2-FG3xSL18-CC-2-MG5 NA 0.641 0.876 0.246 0.149 29.351 -0.211 -0.171 0.796 0.676 1.222
399 SL18-SF-17-FG2xSA18-CB-7-MG3 NA 0.929 0.881 0.244 0.441 46.673 0.052 -0.123 -0.175 -0.629 -0.386
202 SL18-OI-11-FG3xSL18-CC-1-MG3 NA 0.32 0.917 0.243 -0.167 45.84 -0.209 0.04 1.028 0.996 1.292
291 SL18-CC-3-FG2xSL18-OD-6-MG1 NA 0.949 0.815 0.238 0.473 50.884 -0.609 -0.029 0.708 0.732 -0.001
260 SL18-CC-3-FG1xSL18-JS-6-MG3 NA 1.609 0.75 0.227 1.155 15.533 0.438 -0.19 0.001 0.433 0.251
385 SL18-OI-4-FG2xSA18-CB-7-MG2 NA 0.992 0.526 0.224 0.545 115.304 0.24 -0.069 -0.369 -0.15 -0.411
346 SL18-CC-3-FG2xSA18-CB-4-MG2 NA 0.646 0.594 0.224 0.199 41.641 0.041 0.058 0.385 0.195 -0.083
217 SL18-CC-5-FG2xSA18-CB-10-MG1 NA 0.372 0.674 0.213 -0.053 24.741 -0.138 0.139 -0.271 -0.069 -0.264
226 SL18-CC-11-FG3xSA18-CB-3-MG3 NA -0.125 0.646 0.208 -0.54 147.564 -0.093 0.045 -0.217 0.801 0.181
328 SL18-SF-17-FG2xSA18-CB-7-MG2 NA 0.656 0.67 0.207 0.242 64.116 0.237 -0.131 -0.475 -0.893 -0.618
302 SL18-CC-12-FG2xSL18-OI-15-MG2 NA 0.151 0.722 0.206 -0.261 47.726 0.136 0.117 -0.386 -0.323 -0.903
269 SL18-CC-3-FG2xSA18-CB-10-MG3 NA 0.872 0.466 0.201 0.469 37.728 -0.134 -0.215 0.277 0.475 -0.032
523 SA18-CB-9-FG1xSL18-OI-7-MG3 NA 0.709 0.668 0.2 0.309 5.032 0.218 0.06 0.105 0.235 -0.138
400 SA18-CB-4-FG6xSL18-JS-6-MG3 NA 0.994 0.604 0.196 0.603 -8.319 0.444 0.002 0.094 0.739 0.289
264 SL18-OI-17-FG4xSL18-JS-6-MG2 NA 0.795 0.625 0.191 0.413 8.437 0.216 0.134 -0.123 -0.082 -0.247
342 SL18-CC-3-FG2xSL18-OI-11-MG3 NA 0.846 0.655 0.19 0.466 53.39 -0.266 -0.068 0.477 0.994 0.265
