rownames,pedigree,Category,Isolate_Sorus,index,WWP,DWpM,PDW,BDns,BLen,BMax,BThk,SLen,SDia
SL18.OI.6.FG2xSA18.CB.4.MG2,SL18-OI-6-FG2xSA18-CB-4-MG2,SL19-UCONN-S176,Yes,0.739484699,0.81191984,0.358716814,0.02205107,16.8743928,0.073138903,-0.044402621,0.176513623,0.005975055,-0.23881495
SL18.OI.6.FG2xSL18.LD.2.MG2,SL18-OI-6-FG2xSL18-LD-2-MG2,SL19-UCONN-S185,Yes,0.749087949,0.809864569,0.338177025,0.072733899,7.987359645,0.151704268,-0.129147081,-0.054234141,0.158268408,-0.464127651
SL18.OI.6.FG3xSL18.CC.11.MG5,SL18-OI-6-FG3xSL18-CC-11-MG5,SL19-UCONN-S206,Yes,0.65354354,0.834964692,0.296645165,0.060253209,40.21785073,-0.16100505,-0.251493143,0.572456585,0.8975377,0.772321826
SL18.OI.11.FG3xSL18.CC.1.MG3,SL18-OI-11-FG3xSL18-CC-1-MG3,SL19-UCONN-S10,Yes,0.558964572,0.927113805,0.285915975,-0.012867379,27.9319799,-0.195694326,-0.011631092,0.864754914,0.711051056,1.182267022
SL18.CC.3.FG2xSL18.OD.6.MG1,SL18-CC-3-FG2xSL18-OD-6-MG1,SL19-UCONN-S180,#N/A,0.597980954,0.842718787,0.28271563,0.032549694,29.06351662,-0.328447558,-0.01716216,0.643526118,0.632512854,-0.0132494
SL18.SF.17.FG2xSA18.CB.7.MG3,SL18-SF-17-FG2xSA18-CB-7-MG3,SL19-UCONN-S278,Yes,0.572597962,0.867043507,0.277031829,0.018534305,20.63463557,-0.017526534,-0.091107674,-0.018571533,-0.359928738,-0.12555488
SL18.CC.3.FG1xSL18.JS.6.MG3,SL18-CC-3-FG1xSL18-JS-6-MG3,SL19-UCONN-S152,Yes,0.597606902,0.771301825,0.268382847,0.060841207,15.00647728,0.269340906,-0.167762586,-0.110916476,0.378712712,0.136822998
SL18.CC.3.FG2xSA18.CB.4.MG2,SL18-CC-3-FG2xSA18-CB-4-MG2,SL19-UCONN-S23,Yes,0.534490985,0.674966853,0.265669219,0.003152547,25.97506465,-0.080559761,0.025944038,0.387488911,0.187132803,-0.0360506
SL18.CC.12.FG2xSL18.OI.15.MG2,SL18-CC-12-FG2xSL18-OI-15-MG2,SL19-UCONN-S190,Yes,0.513746601,0.815577859,0.26272642,-0.011706238,40.8417732,0.118720117,0.077217367,-0.151914642,-0.2044019,-0.379676105
SA18.CB.2.FG3xSL18.CC.2.MG5,SA18-CB-2-FG3xSL18-CC-2-MG5,SL19-UCONN-S53,Yes,0.55558176,0.812240326,0.262431093,0.030719573,11.78996616,-0.15971308,-0.164136599,0.756727087,0.477168997,1.287538585
SL18.OI.4.FG2xSA18.CB.7.MG2,SL18-OI-4-FG2xSA18-CB-7-MG2,SL19-UCONN-S265,Yes,0.514626003,0.535907603,0.250230333,0.014165337,53.69636692,0.107816581,0.062265633,-0.102584725,0.059553528,0.03989132
SA18.CB.4.FG6xSL18.JS.6.MG3,SA18-CB-4-FG6xSL18-JS-6-MG3,SL19-UCONN-S279,#N/A,0.509392063,0.675352506,0.248449069,0.012493925,1.328093426,0.216250011,-0.02512189,-0.013122034,0.718378354,0.313405685
SL18.SF.13.FG2xSA18.CB.2.MG3,SL18-SF-13-FG2xSA18-CB-2-MG3,SL19-UCONN-S63,#N/A,0.541431245,0.794972554,0.245707687,0.050015871,16.21497505,-0.012186377,0.212928648,-0.185527721,-0.369408454,-0.40134331
SL18.CC.3.FG2xSA18.CB.10.MG3,SL18-CC-3-FG2xSA18-CB-10-MG3,SL19-UCONN-S160,Yes,0.501671717,0.555966912,0.240595133,0.020481452,28.43396605,-0.195361992,-0.249626056,0.252985637,0.396395804,-0.04072324
SL18.CC.5.FG2xSA18.CB.10.MG1,SL18-CC-5-FG2xSA18-CB-10-MG1,SL19-UCONN-S113,Yes,0.448125295,0.703698283,0.233648654,-0.019172013,16.95131729,-0.155019257,0.091336636,-0.048057615,-0.025215317,-0.184098739
SA18.CB.9.FG1xSL18.OI.7.MG3,SA18-CB-9-FG1xSL18-OI-7-MG3,SL19-UCONN-S56,Yes,0.483117723,0.653373074,0.23226001,0.018597703,12.54340388,0.147702393,0.083756061,0.176270543,0.344807615,0.177600527
SL18.OI.17.FG4xSL18.JS.6.MG2,SL18-OI-17-FG4xSL18-JS-6-MG2,SL19-UCONN-S156,Yes,0.467673671,0.618655101,0.231589687,0.004494296,7.07727372,0.096296776,0.095081436,-0.222005779,-0.071914547,-0.303853272
SL18.OI.11.FG3xSL18.NC.2.MG1,SL18-OI-11-FG3xSL18-NC-2-MG1,SL19-UCONN-S220,Yes,0.427993372,0.685326148,0.223544772,-0.019096172,11.99748066,-0.015791507,0.121864713,-0.312547432,-0.603097215,-0.03132346
SL18.CC.11.FG3xSA18.CB.3.MG3,SL18-CC-11-FG3xSA18-CB-3-MG3,SL19-UCONN-S121,Yes,0.385864414,0.61762581,0.223190715,-0.060517016,69.1225519,-0.172509045,0.047144105,0.089123082,0.478782256,0.024386711
SL18.CC.5.FG3xSL18.OI.14.MG1,SL18-CC-5-FG3xSL18-OI-14-MG1,SL19-UCONN-S119,Yes,0.406716891,0.713755958,0.211634843,-0.016552794,6.776096774,0.083382042,0.34378963,-0.185107271,0.649524115,0.076598038
SL18.SF.17.FG2xSA18.CB.7.MG2,SL18-SF-17-FG2xSA18-CB-7-MG2,SL19-UCONN-S213,Yes,0.430338485,0.625202105,0.211614428,0.007109629,26.71480219,0.012502027,-0.036628339,-0.249972496,-0.503353754,0.002863884
SL18.OI.4.FG2xSL18.NC.15.MG1,SL18-OI-4-FG2xSL18-NC-15-MG1,SL19-UCONN-S169,#N/A,0.405377314,0.505943845,0.202015247,0.001346821,50.83910334,0.164531732,-0.028382151,-0.099106686,-0.440248116,-0.37857259
SL18.CC.3.FG2xSL18.OI.11.MG3,SL18-CC-3-FG2xSL18-OI-11-MG3,SL19-UCONN-S226,Yes,0.405797549,0.632506913,0.190361356,0.025074837,29.14391032,-0.154865298,-0.139284841,0.566349544,0.792406118,0.42088258
SL18.CC.11.FG3xSL18.NC.2.MG3,SL18-CC-11-FG3xSL18-NC-2-MG3,SL19-UCONN-S189,Yes,0.338088505,0.599320131,0.189803594,-0.041518684,44.41434675,-0.417843214,0.025213764,0.03508405,-0.233300231,-0.248071815
SL18.CC.12.FG3xSL18.OI.15.MG2,SL18-CC-12-FG3xSL18-OI-15-MG2,SL19-UCONN-S139,Yes,0.37048795,0.611241158,0.186725001,-0.002962051,35.25898971,0.003304331,0.083142122,-0.219983622,0.115959403,0.108776204
SL18.SF.13.FG2xSL18.JS.11.MG3,SL18-SF-13-FG2xSL18-JS-11-MG3,SL19-UCONN-S45,#N/A,0.367542656,0.572957941,0.182847775,0.001847105,24.6282286,0.011903953,-0.064098996,-0.009434255,0.590059184,0.230030786
SL18.CC.12.FG2xSL18.LL.9.MG4,SL18-CC-12-FG2xSL18-LL-9-MG4,SL19-UCONN-S77,#N/A,0.366374192,0.548365019,0.18095551,0.004463171,28.54695721,0.19160055,-0.130280456,-0.003972664,0.203076827,-0.019432057
SL18.CC.12.FG2xSL18.JS.6.MG1,SL18-CC-12-FG2xSL18-JS-6-MG1,SL19-UCONN-S214,#N/A,0.432752594,0.437499509,0.178402696,0.075947203,25.96811261,0.231192499,0.113128608,0.206440593,0.141626463,0.35540938
SA18.CB.9.FG1xSL18.JS.19.MG1,SA18-CB-9-FG1xSL18-JS-19-MG1,SL19-UCONN-S248,#N/A,0.357406374,0.563827483,0.170219418,0.016967538,-3.040688832,0.008348498,0.376455124,-0.571627094,-0.46638084,-0.878257991
SL18.CC.11.FG3xSL18.CC.3.MG1,SL18-CC-11-FG3xSL18-CC-3-MG1,SL19-UCONN-S12,#N/A,0.326880975,0.555276244,0.169554682,-0.01222839,50.40243476,-0.11465966,-0.072722378,0.222675538,-0.372959145,0.496855891
