"","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SA18-CB-7-MG2",0.559,0.142,0,11.275,-0.003,0.16,0.074,0.545,0.6
"SL18-OI-15-MG1",0.437,0.099,0,56.007,-0.028,0.173,0.539,-0.427,0.096
"SL18-SF-15-MG1",0.484,0.097,0,74.254,-0.046,-0.076,-0.318,0.263,-1.068
"SA18-CB-7-MG1",0.532,0.095,0,13.499,-0.016,-0.083,0.227,0.716,-0.185
"SL18-SF-15-MG2",0.514,0.089,0,33.225,-0.017,0.124,0.264,0.427,-0.273
"SA18-CB-1-MG2",0.486,0.082,0,50.118,0.031,-0.354,-0.021,-0.792,0.273
"SL18-OI-15-MG2",0.321,0.068,0,42.777,-0.054,-0.111,-0.434,-0.446,0.011
"SL18-OI-14-MG2",0.258,0.064,0,-1.191,0.001,-0.496,-0.11,-0.528,-0.093
"SA18-CB-10-MG1",0.284,0.05,0,18.012,-0.008,-0.208,0.406,-0.33,0.231
"SL18-SF-13-MG1",0.142,0.047,0,33.826,-0.004,-0.658,-0.433,-2.018,-2.553
"SL18-SF-13-MG2",0.107,0.044,0,19.292,0.004,-0.003,0.007,-0.121,0.857
"SL18-SF-17-MG1",0.108,0.044,0,-54.508,0.018,0.446,0.095,0.067,-0.126
"SL18-SF-17-MG2",0.223,0.04,0,67.83,0.039,0.148,0.407,-0.165,1.013
"SL18-SF-19-MG2",0.172,0.035,0,92.253,0.003,0.331,0.392,-0.262,0.445
"SL18-SF-19-MG1",-0.042,0.029,0,87.224,0.01,0.218,-0.002,0.314,0.621
"SL18-OI-9-MG3",0.196,0.029,0,45.019,-0.017,0.005,-0.085,-0.385,-1.687
"SA18-CB-3-MG3",0.348,0.025,0,7.251,0.042,0.588,-0.264,-0.134,-0.064
"SA18-CB-4-MG3",0.23,0.018,0,-24.938,-0.033,-0.274,-0.528,-0.279,-0.631
"SL18-OI-16-MG1",0.112,0.017,0,48.586,-0.052,-0.169,-0.292,-0.001,0.018
"SL18-OI-7-MG1",0.098,0.014,0,133.279,-0.052,0.011,0.379,0.451,0.061
"SL18-LD-13-MG2",-0.012,0.009,0,53.528,-0.004,0.283,-0.26,-0.391,0.479
"SL18-NL-6-MG1",0.058,0.009,0,74.997,-0.011,-0.377,0.618,1.268,1.033
"SL18-SF-13-MG3",-0.104,-0.003,0,-4.393,0.008,-0.135,-0.177,0.054,0.05
"SL18-OI-4-MG1",0.005,-0.007,0,-30.134,0.01,0.058,-0.838,-0.178,0.127
"SL18-LD-10-MG1",-0.004,-0.009,0,-0.76,-0.012,0.142,0.995,-0.602,-0.385
"SL18-SF-17-MG3",-0.136,-0.011,0,-31.4,0.017,0.481,1.55,-0.34,0.466
"SL18-NL-2-MG3",-0.045,-0.012,0,-38.786,0.025,0.493,0.167,0.255,0.201
"SA18-CB-2-MG2",-0.066,-0.013,0,-30.249,0.02,0.128,-0.187,0.019,0.162
"SL18-OI-6-MG2",-0.019,-0.014,0,-73.013,-0.072,-0.419,-0.371,-0.899,-0.377
"SA18-CB-4-MG1",0.099,-0.016,0,-51.248,-0.026,-0.392,0.06,-0.603,-0.596
"SL18-OI-11-MG2",-0.081,-0.018,0,-31.043,0.016,0.428,-0.563,0.518,0.203
"SA18-CB-2-MG3",-0.107,-0.018,0,-70.725,0.019,0.253,0.495,0.243,0.002
"SL18-NL-2-MG1",-0.132,-0.019,0,-2.169,0.023,0.175,1.061,0.669,0.008
"SL18-OI-18-MG1",-0.258,-0.025,0,-68.296,-0.022,-0.093,0.123,0.029,-0.038
"SL18-LL-9-MG3",-0.17,-0.026,0,-80.37,0.031,0.064,0.33,0.663,0.349
"SA18-CB-2-MG1",-0.223,-0.032,0,-21.559,0.016,0.51,-0.26,-0.195,-0.448
"SL18-NL-9-MG2",-0.144,-0.042,0,11.726,0.016,0.05,-0.737,-0.049,0.654
"SL18-NL-2-MG2",-0.185,-0.042,0,2.898,0.021,0.006,-0.585,0.667,-0.307
"SL18-LD-3-MG2",-0.136,-0.042,0,-27.317,0.044,0.232,0.358,0.513,-0.077
"SL18-NL-10-MG2",-0.249,-0.044,0,25.87,-0.022,0.205,-0.163,0.05,-0.018
"SL18-NL-7-MG1",-0.294,-0.044,0,-45.375,0.009,0.072,-0.269,1.096,1.14
"SL18-LD-2-MG1",-0.359,-0.047,0,-46.602,0.008,0.198,-0.108,0.579,0.573
"SL18-LD-9-MG1",-0.31,-0.047,0,-69.209,0.019,-0.097,0.272,-0.543,-0.818
"SL18-LL-9-MG2",-0.126,-0.053,0,-24.727,0.047,-0.447,0.974,0.639,0.77
"SL18-LD-5-MG1",-0.006,-0.06,0,-35.904,0.022,0.115,0.422,0.017,0.351
"SL18-LD-2-MG3",-0.389,-0.061,0,-62.782,0.024,-0.071,-1.052,-0.089,-0.069
"SL18-NL-3-MG2",-0.434,-0.066,0,-14.631,-0.017,0.019,-0.256,0.051,-0.388
"SA18-CB-5-MG3",-0.475,-0.069,0,-42.887,0.017,0.041,0.381,0.283,0.747
"SL18-NL-5-MG1",-0.402,-0.071,0,4.911,0.024,-0.276,-0.337,-0.201,0.218
"SL18-LL-9-MG1",-0.437,-0.085,0,-110.779,0.034,-0.036,0.206,0.133,-0.273
"SL18-LD-1-MG2",-0.412,-0.09,0,-46.314,-0.016,-0.04,-0.413,-0.056,-0.286
"SL18-NL-9-MG1",-0.482,-0.105,0,-17.427,-0.002,0.133,0.227,-0.007,0.393
