INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
SA-CB-1-MG-2	5518006	0	4250908	0.77037
SL-FW-21-MG-1	5518006	0	1108449	0.200879
SL-SF-17-MG-1	5518006	0	415781	0.0753499
SL-FI-2-FG-11	5518006	0	1770191	0.320803
SL-LD-3-FG-2	5518006	0	4991257	0.90454
SA-CB-10-MG-1	5518006	0	597803	0.108337
SL-CC-6-MG-2	5518006	0	428507	0.0776561
SL-LD-1-MG-1	5518006	0	252806	0.0458147
SA-CB-2-MG-1	5518006	0	4147105	0.751559
SL-LL-9-MG-3	5518006	0	344495	0.0624311
SL-SF-17-MG-2	5518006	0	523077	0.0947946
SL-FI-2-FG-12	5518006	0	285750	0.051785
SL-LD-3-FG-3	5518006	0	2275701	0.412414
SA-CB-3-MG-2	5518006	0	3384448	0.613346
SL-CC-7-MG-2	5518006	0	337599	0.0611813
SL-LD-2-MG-1	5518006	0	190450	0.0345143
SA-CB-2-MG-2	5518006	0	3770785	0.68336
SL-FI-1-MG-2	5518006	0	272114	0.0493138
SL-SF-17-MG-3	5518006	0	337622	0.0611855
SL-JS-11-FG-4	5518006	0	312395	0.0566137
SL-LD-4-FG-3	5518006	0	4129693	0.748403
SA-CB-3-MG-3	5518006	0	3780690	0.685155
SL-FW-12-MG-10	5518006	0	204441	0.0370498
SL-LD-2-MG-2	5518006	0	203101	0.036807
SL-BL-14-MG-1	5518006	0	342116	0.0619999
SL-FI-1-MG-10	5518006	0	912511	0.16537
SL-SF-19-MG-1	5518006	0	706700	0.128072
SL-JS-19-FG-2	5518006	0	568378	0.103004
SL-LD-5-FG-2	5518006	0	1070799	0.194055
SA-CB-4-MG-1	5518006	0	3006905	0.544926
SL-FW-21-MG-2	5518006	0	291156	0.0527647
SL-LD-9-MG-2	5518006	0	342077	0.0619929
SL-BL-16-MG-2	5518006	0	509536	0.0923406
SL-FI-2-MG-1	5518006	0	2054261	0.372283
SL-SF-19-MG-2	5518006	0	401142	0.0726969
SL-LD-10-FG-1	5518006	0	4423168	0.801588
SL-LD-9-FG-2	5518006	0	1049615	0.190216
SA-CB-4-MG-3	5518006	0	567238	0.102798
SL-FW-12-MG-2	5518006	0	309162	0.0560278
SL-LD-9-MG-1	5518006	0	285764	0.0517875
SL-BL-17-MG-2	5518006	0	307700	0.0557629
SL-NL-2-MG-2	5518006	0	1119980	0.202968
SA-CB-4-FG-3	5518006	0	393107	0.0712408
SL-LD-10-FG-2	5518006	0	1519635	0.275396
SL-LD-9-FG-3	5518006	0	3732273	0.676381
SA-CB-5-MG-3	5518006	0	1803357	0.326813
SL-JS-11-MG-2	5518006	0	446849	0.0809802
SL-LL-9-MG-4	5518006	0	407175	0.0737902
SL-BL-18-MG-3	5518006	0	294700	0.053407
SL-OD-3-MG-2	5518006	0	360765	0.0653796
SA-CB-5-FG-1	5518006	0	4947950	0.896692
SA-CB-7-FG-3	5518006	0	1580283	0.286387
SL-LL-9-FG-3	5518006	0	267501	0.0484778
SA-CB-7-MG-1	5518006	0	2298366	0.416521
SL-JS-16-MG-2	5518006	0	322091	0.0583709
SL-NC-10-MG-3	5518006	0	715303	0.129631
SL-CC-8-MG-3	5518006	0	222103	0.0402506
SL-OI-11-MG-2	5518006	0	772643	0.140022
SA-CB-5-FG-5	5518006	0	4914010	0.890541
SL-LD-10-FG-3	5518006	0	3466362	0.628191
SL-NL-10-FG-2	5518006	0	305608	0.0553838
SA-CB-7-MG-2	5518006	0	3862588	0.699997
SL-JS-19-MG-2	5518006	0	943682	0.171019
SL-NC-11-MG-3	5518006	0	298959	0.0541788
SL-CC-9-MG-4	5518006	0	299264	0.0542341
SL-OI-14-MG-2	5518006	0	389591	0.0706036
SL-BL-10-FG-2	5518006	0	497243	0.0901128
SL-LD-1-FG-1	5518006	0	1528019	0.276915
SL-BL-10-MG-1	5518006	0	374847	0.0679316
SL-JS-9-MG-1	5518006	0	468073	0.0848265
SL-NC-15-MG-1	5518006	0	862633	0.156331
