Bin,fraction of sites
0,0
1,0.146472
2,0.091675
3,0.076271
4,0.074716
5,0.073776
6,0.076469
7,0.076726
8,0.073103
9,0.072419
10,0.072192
11,0.069142
12,0.067479
13,0.063193
14,0.056748
15,0.052906
16,0.047055
17,0.045956
18,0.044085
19,0.040828
20,0.040373
21,0.038997
22,0.039571
23,0.037581
24,0.037719
25,0.037551
26,0.036165
27,0.036007
28,0.035452
29,0.035046
30,0.035076
31,0.033789
32,0.033561
33,0.033552
34,0.033205
35,0.032938
36,0.033146
37,0.034413
38,0.034007
39,0.034225
40,0.034274
41,0.033938
42,0.032661
43,0.034393
44,0.032829
45,0.034472
46,0.033423
47,0.034037
48,0.033799
49,0.034769
50,0.034967
51,0.034512
52,0.035502
53,0.035947
54,0.03568
55,0.034284
56,0.035838
57,0.036096
58,0.035601
59,0.036413
60,0.036363
61,0.035621
62,0.036135
63,0.036284
64,0.036809
65,0.036175
66,0.037195
67,0.037848
68,0.037492
69,0.03771
70,0.038224
71,0.037779
72,0.038175
73,0.038175
74,0.038353
75,0.038937
76,0.03766
77,0.038432
78,0.039571
79,0.039135
80,0.039373
81,0.039204
82,0.040125
83,0.040492
84,0.039769
85,0.040492
86,0.040501
87,0.040987
88,0.040719
89,0.042402
90,0.041066
91,0.042155
92,0.042234
93,0.042838
94,0.043452
95,0.042986
96,0.04263
97,0.044026
98,0.043689
99,0.043471
100,0.043254
101,0.045501
102,0.044966
103,0.045352
104,0.045234
105,0.04558
106,0.046828
107,0.047333
108,0.046481
109,0.047184
110,0.047451
111,0.047511
112,0.048679
113,0.047283
114,0.048313
115,0.048174
116,0.04853
117,0.050124
118,0.048689
119,0.050025
120,0.051896
121,0.050837
122,0.050055
123,0.051995
124,0.052144
125,0.051976
126,0.053837
127,0.052679
128,0.053461
129,0.053659
130,0.052877
131,0.054678
132,0.055659
133,0.057391
134,0.056906
135,0.056767
136,0.058718
137,0.059391
138,0.059223
139,0.057995
140,0.061163
141,0.060906
142,0.062014
143,0.064381
144,0.064727
145,0.065242
146,0.068123
147,0.065826
148,0.06738
149,0.068133
150,0.069697
151,0.070291
152,0.071657
153,0.072608
154,0.074508
155,0.077072
156,0.077617
157,0.077617
158,0.077597
159,0.080686
160,0.080547
161,0.081389
162,0.084478
163,0.084993
164,0.086082
165,0.084834
166,0.087101
167,0.085478
168,0.087973
169,0.09016
170,0.088072
171,0.086893
172,0.089408
173,0.090141
174,0.089378
175,0.089784
176,0.089883
177,0.090566
178,0.089636
179,0.09025
180,0.091596
181,0.090834
182,0.089745
183,0.089844
184,0.090705
185,0.088893
186,0.088339
187,0.088685
188,0.088408
189,0.08624
190,0.085022
191,0.085884
192,0.086181
193,0.084953
194,0.083755
195,0.081102
196,0.082458
197,0.083725
198,0.08226
199,0.079389
200,0.078815
201,0.078092
202,0.080092
203,0.079013
204,0.078221
205,0.0773
206,0.078053
207,0.076696
208,0.076211
209,0.073944
210,0.074558
211,0.074192
212,0.07339
213,0.071509
214,0.072172
215,0.071558
216,0.071231
217,0.07139
218,0.07042
219,0.069439
220,0.068657
221,0.068578
222,0.068657
223,0.068915
224,0.066766
225,0.066727
226,0.066559
227,0.065272
228,0.064747
229,0.065846
230,0.063975
231,0.064381
232,0.063985
233,0.065074
234,0.064598
235,0.062955
236,0.063381
237,0.063806
238,0.063262
239,0.064103
240,0.062757
241,0.062519
242,0.062064
243,0.061549
244,0.060826
245,0.060351
246,0.059609
247,0.060836
248,0.061777
249,0.061965
250,0.060846
251,0.061163
252,0.059331
253,0.059688
254,0.059064
255,0.061341
256,0.060767
257,0.060015
258,0.060351
259,0.061193
260,0.058955
261,0.061331
262,0.060351
263,0.060599
264,0.058836
265,0.060094
266,0.058549
267,0.059124
268,0.058787
269,0.058183
270,0.059173
271,0.0595
272,0.059975
273,0.058292
274,0.057817
275,0.058401
276,0.057866
277,0.05745
278,0.057381
279,0.056837
280,0.058817
281,0.058658
282,0.057589
283,0.058213
284,0.05851
285,0.059341
286,0.058233
287,0.056787
288,0.057332
289,0.056807
290,0.057599
291,0.057371
292,0.059034
293,0.057906
294,0.056451
295,0.058906
296,0.057995
297,0.057282
298,0.056916
299,0.056886
300,0.057916
301,0.056876
302,0.056649
303,0.057916
304,0.056183
305,0.057064
306,0.056599
307,0.056421
308,0.056035
309,0.055916
310,0.057371
311,0.057926
312,0.055718
313,0.056144
314,0.056946
315,0.056183
316,0.056757
317,0.056688
318,0.056272
319,0.059094
320,0.05754
321,0.056866
322,0.057134
323,0.058292
324,0.05653
325,0.056698
326,0.056896
327,0.05747
328,0.058648
329,0.058163
330,0.058153
331,0.05844
332,0.057728
333,0.057173
334,0.058599
335,0.059421
336,0.058252
337,0.058421
338,0.059589
339,0.057807
340,0.055926
341,0.057955
342,0.057549
343,0.058015
344,0.058431
345,0.059411
346,0.057005
347,0.057688
348,0.057688
349,0.058629
350,0.057609
351,0.059916
352,0.058361
353,0.059371
354,0.0585
355,0.058153
356,0.058431
357,0.058015
358,0.058797
359,0.059351
360,0.059074
361,0.057985
362,0.057906
363,0.058698
364,0.056975
365,0.057856
366,0.05849
367,0.060163
368,0.057945
369,0.060609
370,0.059767
371,0.059232
372,0.059074
373,0.060391
374,0.059133
375,0.058292
376,0.05847
377,0.059173
378,0.059589
379,0.059361
380,0.059341
381,0.057827
382,0.05952
383,0.060678
384,0.058945
385,0.060955
386,0.059242
387,0.058163
388,0.058975
389,0.060302
390,0.059054
391,0.060925
