pedigree,gpSex,WWP,DWpM,PDW,BDns,BLen,BMax,BThk,SLen,SDia
SA18-CB-10-FG1xSL18-SF-19-MG2,NA,0.310051294,0.052644399,1.44E-09,63.67303987,0.000971363,0.007951796,0.378601876,0.07033844,-0.068163987
SL18-LD-10-FG1xSL18-OI-4-MG1,NA,-0.12571549,-0.025485637,2.88E-09,-36.0625055,0.018073133,0.29815129,-0.139598126,0.071166367,0.191577691
SL18-NL-6-FG1xSL18-OI-11-MG2,NA,0.2712046,0.055274466,-4.71E-09,110.3548643,0.005529666,0.105404091,-0.192605214,0.29654646,0.240412083
SL18-NL-6-FG1xSL18-OI-14-MG2,NA,0.4410773,0.096081774,-5.62E-09,125.2806425,-0.001838613,-0.356683077,0.03373373,-0.226314624,0.092311449
SL18-NL-6-FG1xSL18-OI-15-MG1,NA,0.5304317,0.113641236,-5.78E-09,153.8797327,-0.016132666,-0.021996266,0.358560705,-0.176079765,0.186998993
SL18-NL-6-FG1xSL18-OI-16-MG1,NA,0.36816695,0.072685723,-5.41E-09,150.1695308,-0.028515645,-0.19306427,-0.056987735,0.036968786,0.148051603
SL18-NL-6-FG1xSL18-SF-17-MG1,NA,0.36609696,0.08614268,-4.62E-09,98.6221203,0.006797073,0.114443521,0.136295272,0.071091107,0.076056007
SL18-NL-6-FG1xSL18-SF-19-MG2,NA,0.397881067,0.081677398,-2.34E-09,172.0028182,-0.000981271,0.056895457,0.28463099,-0.093330267,0.361562075
SL18-LD-10-FG2xSA18-CB-7-MG2,NA,0.183246252,0.055607571,1.69E-09,4.905737055,-0.005639972,0.232688541,0.661615806,0.222812232,0.506815327
SL18-LD-10-FG2xSL18-NL-3-MG2,NA,-0.313232317,-0.048457743,3.02E-09,-8.047293524,-0.012548196,0.162166261,0.496685699,-0.024308991,0.013160085
SL18-NL-9-FG2xSA18-CB-7-MG1,NA,0.296952756,0.029441564,-5.49E-09,51.77807494,-0.002701222,-0.169477284,0.264499548,0.460471731,0.021451608
SL18-NL-9-FG2xSL18-SF-19-MG1,NA,0.010048637,-0.003277614,2.03E-09,88.6405775,0.010366476,-0.019290355,0.150174978,0.259427467,0.424736827
SL18-OI-11-FG1xSL18-SF-15-MG2,NA,0.317284081,0.037557696,-3.41E-09,20.04757174,-0.005896275,0.350133353,0.03932644,0.375043452,0.169586943
SL18-OI-15-FG1xSA18-CB-2-MG3,NA,0.169359987,0.038112498,1.01E-10,-30.36325898,-0.027579292,-0.216396161,0.166611387,0.076511729,0.044483932
SL18-OI-15-FG1xSL18-NL-5-MG1,NA,0.021971842,0.01202153,-7.37E-10,7.454455477,-0.024678234,-0.480722434,-0.249267282,-0.145489097,0.152702801
SL18-OI-15-FG1xSL18-SF-15-MG1,NA,0.465096562,0.095639556,-2.48E-09,42.12591785,-0.059974365,-0.380846757,-0.240222352,0.086429567,-0.490274352
SL18-OI-16-FG3xSA18-CB-4-MG3,NA,0.158548957,0.014837207,-2.09E-09,16.09565081,-0.015255514,-0.37226869,-0.433384613,-0.645930762,-0.711011428
SL18-OI-16-FG3xSA18-CB-5-MG3,NA,-0.193676681,-0.028854122,1.59E-09,7.121416464,0.009405184,-0.214761248,0.021073767,-0.365137894,-0.021807425
SL18-LD-13-FG2xSL18-LD-13-MG2,NA,0.069846865,0.018110375,3.88E-09,49.58146953,-0.001432272,0.32731469,-0.546511916,-0.270418661,-0.126389854
SL18-OI-16-FG3xSL18-LD-3-MG2,NA,-0.024547879,-0.015436151,1.09E-09,14.90617845,0.022993233,-0.119423777,0.009467588,-0.250073399,-0.433846438
SL18-OI-16-FG3xSL18-NL-6-MG1,NA,0.072472429,0.010257903,-2.72E-09,66.06326463,-0.004405622,-0.424069171,0.139592736,0.127687224,0.121050316
SL18-OI-16-FG3xSL18-SF-17-MG2,NA,0.155334895,0.025868772,-1.61E-09,62.47974015,0.02035315,-0.161322501,0.034198847,-0.588764633,0.111079732
SL18-OI-17-FG1xSL18-SF-13-MG2,NA,0.116711444,0.031095151,1.27E-09,11.60454751,0.002506922,-0.122531167,-0.729398588,-0.246721158,0.217095588
SL18-OI-17-FG2xSL18-SF-17-MG2,NA,-0.077903326,-0.016093025,-2.30E-09,8.709566317,0.016030549,-0.090198486,0.215820892,-0.129158182,-0.282771167
SL18-OI-18-FG1xSL18-OI-9-MG3,NA,0.128350435,0.027615563,9.77E-10,0.365740443,-0.027636783,0.111150115,0.52704192,0.147201557,-0.188384109
SL18-OI-18-FG2xSA18-CB-7-MG1,NA,0.237959188,0.053362775,8.42E-10,-19.45149907,-0.039345744,-0.108503916,-0.082676553,0.196942124,0.155083629
SL18-OI-18-FG2xSL18-LD-10-MG1,NA,-0.03011989,0.001282476,4.16E-09,-26.5812257,-0.037370994,0.003618578,0.301358546,-0.461714722,0.055104125
SL18-OI-18-FG2xSL18-LD-9-MG1,NA,-0.183248109,-0.017466053,4.98E-09,-60.8058775,-0.022000697,-0.115812302,-0.060090022,-0.432290668,-0.161184568
SL18-OI-18-FG2xSL18-NL-2-MG2,NA,-0.120392045,-0.015111274,1.32E-09,-24.75240266,-0.020890316,-0.064067511,-0.488661624,0.172552192,0.094292394
SL18-OI-18-FG2xSL18-LD-2-MG3,NA,-0.222372168,-0.024451932,6.35E-09,-57.59204581,-0.019179027,-0.102985805,-0.7223396,-0.205184696,0.213452655
SL18-OI-18-FG3xSL18-LL-9-MG1,NA,-0.258948141,-0.040067349,2.67E-09,-91.67637896,-0.001501041,-0.049894004,-0.040683001,-0.186909108,-0.2901099
SL18-OI-18-FG3xSL18-OI-7-MG1,NA,0.008191027,0.00904689,1.35E-09,30.35272255,-0.044140902,-0.026403906,0.045751663,-0.027797817,-0.123511957
SL18-OI-18-FG5xSA18-CB-4-MG3,NA,0.059071062,0.024625668,1.49E-09,-47.19281925,-0.040491738,-0.031872194,0.060852265,-0.062236113,-0.164119892
SL18-OI-18-FG5xSL18-LD-2-MG1,NA,-0.235520155,-0.007718809,8.50E-09,-58.02489893,-0.020300561,0.204156638,0.27078966,0.366553388,0.4380426
SL18-OI-18-FG5xSL18-SF-15-MG2,NA,0.200943517,0.06010569,1.28E-09,-18.11134144,-0.032759575,0.16710237,0.45683754,0.290744016,0.014961014
SL18-OI-18-FG6xSA18-CB-1-MG2,NA,0.209602883,0.039740943,5.85E-10,4.137268355,0.000250734,-0.347555516,-0.512338158,-0.956161547,0.063124004
SL18-OI-18-FG6xSL18-NL-6-MG1,NA,-0.004365313,0.003429162,-1.13E-09,16.57694114,-0.020831609,-0.359212125,-0.192587864,0.073770068,0.442994207
SL18-OI-2-FG2xSL18-LD-1-MG2,NA,-0.352569912,-0.071131433,3.26E-09,-64.04241163,-0.01352312,-0.023337596,-0.058581008,0.150395083,-0.261351427
SL18-LD-1-FG1xSL18-NL-2-MG2,NA,-0.287979014,-0.061483418,1.11E-09,-3.357988545,0.016714693,-0.145373151,-0.559281548,0.502802685,-0.070325177
