"","pedigree","gpSex","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18.OI.4","SL18-OI-4",NA,0.0618449228965791,0.0290920858473399,0.3288240780519,34.3745859212392,0.0702023981508345,-0.140855670321971,-0.491922842949405,0.10264374450632,-0.289554426987077
"SL18.OI.5","SL18-OI-5",NA,-0.245438184645757,-0.0594774640566967,0.437413508009531,-12.6131242191527,-0.302894724684485,0.01299970198543,-0.282462053176627,0.0770119094243667,-0.17181379288588
"SL18.OI.6","SL18-OI-6",NA,0.389806867007222,0.169938752831652,1.71518387682091,39.038437561621,-0.330296117751969,-0.00369200406747512,0.313864416901216,0.292627783772466,0.588552433240267
"SL18.OI.11","SL18-OI-11",NA,0.184235870720857,0.0470259415949513,0.0748252363340082,11.0797758146226,-0.458651992673524,0.0958845343564381,0.0334031210762107,0.0195860727050668,-0.0211981445561802
"SL18.OI.15","SL18-OI-15",NA,0.0964501058850911,0.0286175232328464,0.35266190727162,1.52345605639371,-0.388255174072434,-0.0771400407703822,0.020518796710994,0.56379606550162,-0.0549008188254008
"SL18.OI.16","SL18-OI-16",NA,-0.217547992542957,-0.0731798212953492,0.451236609779208,-13.9252637592963,0.251476055235396,0.121359429051982,-0.294447528523601,-0.572748430606496,-0.191931575121599
"SL18.OI.17","SL18-OI-17",NA,0.126046936771109,0.040268631485314,0.0296152858741551,-2.06149691272586,0.00467484884995408,-0.0327392674578736,0.0477115297081874,-0.156205001349841,0.403938511526276
"SL18.OI.18","SL18-OI-18",NA,-0.102917361701021,-0.0418198910164069,0.308700722299274,-1.7287718811843,-0.196085102087623,-0.101101956925188,-0.0357629035619472,0.376591107448292,-0.0839474708865279
"SL18.LD.1","SL18-LD-1",NA,-0.0264372699598225,-0.00904863110241657,0.11667283118126,-0.244132025107966,0.179359870491724,0.205402544591507,-0.513159366717522,0.0101944562341768,-0.316460603374999
"SL18.LD.3","SL18-LD-3",NA,-0.00245240993431081,-0.00360282079401373,0.0411956750347182,11.5347526140706,0.103410053480444,0.0845847402694077,-0.179664726941378,-0.0932644804056713,-0.106347445698475
"SL18.LD.4","SL18-LD-4",NA,-0.0511039023587257,-0.0214590994793452,-0.106169095896575,10.0507044275419,0.108612368442689,0.0956708541736787,-0.169533494917007,-0.0556884586704156,-0.0815116060867598
"SL18.LD.5","SL18-LD-5",NA,0.00882365050833242,-0.00019523567001671,0.0569454071646551,12.1995277865843,0.0831904712096013,0.0959754635801945,-0.115074833697777,-0.0670908918353087,-0.0504705164733907
"SL18.LD.9","SL18-LD-9",NA,0.0440896255601957,-0.00432139659769466,-0.227410175701465,27.4587326075942,0.147770992365458,0.143047401726788,-0.222433959424628,-0.241232369272176,-0.16331679673991
"SL18.LD.10","SL18-LD-10",NA,-0.00372311222181411,-0.0055051992711914,-0.105500129979985,10.5794647882555,0.115459426863435,0.112352340692888,-0.165458180617221,-0.0998880302677365,-0.0911587858397661
"SL18.LD.14","SL18-LD-14",NA,-0.0383868514694489,-0.0154475468203327,-0.0331403571311967,6.51892953258063,0.113982111400962,0.102907445646055,-0.158311012830454,0.0117899188815038,-0.127792296183934
"SL18.LD.13","SL18-LD-13",NA,-0.208353356037028,-0.0633107253087759,-0.0425738989738443,1.78260592756511,0.253325911374737,0.213025005067854,-0.109354673944697,0.0356114399824504,-0.104124845270784
"SL18.LL.7","SL18-LL-7",NA,0.0231567157063049,0.00192945679351059,-0.0804495205044692,12.9677723519019,0.120376956646681,0.093065983946695,-0.138519478498123,-0.00989654690496895,-0.106416781718878
"SL18.DI.17","SL18-DI-17",NA,-0.0305435113893877,-0.00614938862301051,0.142557874836205,2.56579710521544,0.0317970098869218,0.0372085825679605,-0.0883482895534049,-0.037526069350787,-0.0931804664547014
"SL18.DI.16","SL18-DI-16",NA,-0.0218449672605565,-0.00553804489330479,-0.0301379887866476,8.86575482485332,0.0396492602575733,0.0645382188394082,-0.106876702860822,-0.0545663887870635,-0.083047843352676
"SL18.DI.13","SL18-DI-13",NA,-0.0114558355779723,-0.00304990886348982,0.0662436912171001,4.16287744083631,0.0417429746774592,0.0597894675329935,-0.136296060782447,-0.0993240708140684,-0.115679983060668
"SL18.DI.15","SL18-DI-15",NA,-0.0638030988554992,-0.0235534700420985,-0.0455380004542193,-2.64474089301413,0.0235688683503202,0.024378819937791,-0.0476317155823378,0.0350854262443954,-0.0320648404409856
"SL18.DI.11","SL18-DI-11",NA,-0.00535075483643544,-0.00641704670070412,-0.138774836191507,3.15488979083813,0.0337985997180225,0.0659616628358984,-0.0698056179111428,-0.0576733806913387,-0.0234588370502236
"SL18.DI.5","SL18-DI-5",NA,-0.0184619835603193,-0.00217318409240982,0.129616240437205,3.05375604306058,-0.00630664146931691,0.0416959408097252,-0.0967325307567244,-0.051128142866253,-0.0478677610191442
"SL18.DI.3","SL18-DI-3",NA,-0.0158780244845037,-0.00219394338376329,0.154649609054296,-0.0644960176558073,0.00163263380948763,0.0398738578798396,-0.0656470954828431,-0.0483799518245125,-0.0246871442904572
"SL18.DI.12","SL18-DI-12",NA,-0.0450177847145236,-0.0125561753133436,0.0575238640805009,-6.57614264538515,0.00906325468612935,0.0456414202393572,-0.0340850327601039,0.0993744880224438,-0.0524006093458076
"SL18.DI.7","SL18-DI-7",NA,-0.0208785947816376,-0.00738424862638568,-0.0127515461846388,0.994793478922364,-0.0183902235862982,0.0444446439113435,-0.0775507405342021,-0.0223927132596802,-0.0552024241257848
"SL18.FW.1","SL18-FW-1",NA,0.17831185575217,0.0672499431471651,-0.0373783306295074,21.2015932789649,0.00188138218626976,-0.0163419155583771,0.226469306693304,-0.0535629266513244,0.221465893653325
