"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk"
"1","SL18-UCONN-1",1,"2019","1","GOM","1","5_30_2019",124,NA,"SA18-CB-10-FG1","CB","SL18-SF-19-MG2","SF","SA18-CB-10-F1 / SL18-SF-19-M2","3",4,"2","TBD","7",3,7.25,0.88,8.238636364,5.73,0.42,500,"ES"
"10","SL18-UCONN-10",10,"2019","10","GOM","10","5_31_2019",125,NA,"SL18-LD-10-FG1","LD","SL18-OI-4-MG1","OI","SL18-LD-10-F1 / SL18-OI-4-M1","2",1,"3","TBD","9",3,2.58,0.95,2.715789474,8.99,0.23,200,"ES"
"99","SL18-UCONN-100",99,"2019","100","GOM","100","5_31_2019",125,NA,"SL18-NL-6-FG1","NL","SL18-OI-11-MG2","OI","SL18-NL-6-F1 / SL18-OI-11-M2","3",4,"4","TBD","8",2,1.05,0.94,1.117021277,10.16,0.11,0,"ES"
"100","SL18-UCONN-101",100,"2019","101","GOM","101","5_30_2019",124,NA,"SL18-NL-6-FG1","NL","SL18-OI-14-MG2","OI","SL18-NL-6-F1 / SL18-OI-14-M2","3",4,"1","TBD","2",3,5.18,0.9,5.755555556,9.18,0.48,340,"ES"
"101","SL18-UCONN-102",101,"2019","102","GOM","102","5_30_2019",124,NA,"SL18-NL-6-FG1","NL","SL18-OI-15-MG1","OI","SL18-NL-6-F1 / SL18-OI-15-M1","3",4,"1","TBD","9",3,5.24,0.94,5.574468085,9,0.47,660,"ES"
"102","SL18-UCONN-103",102,"2019","103","GOM","103","5_30_2019",124,NA,"SL18-NL-6-FG1","NL","SL18-OI-16-MG1","OI","SL18-NL-6-F1 / SL18-OI-16-M1","3",4,"1","TBD","5",3,3.61,0.86,4.197674419,9.49,0.34,560,"ES"
"103","SL18-UCONN-104",103,"2019","104","GOM","104","5_30_2019",124,NA,"SL18-NL-6-FG1","NL","SL18-SF-17-MG1","SF","SL18-NL-6-F1 / SL18-SF-17-M1","3",4,"1","TBD","5",3,4.4,0.78,5.641025641,9.43,0.41,240,"ES"
"104","SL18-UCONN-105",104,"2019","105","GOM","105","5_30_2019",124,NA,"SL18-NL-6-FG1","NL","SL18-SF-19-MG2","SF","SL18-NL-6-F1 / SL18-SF-19-M2","3",4,"1","TBD","1",3,4.75,0.95,5,5.59,0.27,620,"ES"
"105","SL18-UCONN-106",105,"2019","106","GOM","106","5_31_2019",125,NA,"SL18-NL-6-FG3","NL","SA18-CB-4-MG3","CB","SL18-NL-6-F3 / SA18-CB-4-M3","1",4,"4","TBD","1",1,0.63,0.85,0.741176471,12.12,0.08,0,"ES"
"11","SL18-UCONN-11",11,"2019","11","GOM","11","5_30_2019",124,NA,"SL18-LD-10-FG2","LD","SA18-CB-7-MG2","CB","SL18-LD-10-F2 / SA18-CB-7-M2","1",4,"2","TBD","6",3,4.7,0.98,4.795918367,8.16,0.38,380,"ES"
"110","SL18-UCONN-111",110,"2019","111","GOM","111","5_31_2019",125,NA,"SL18-NL-6-FG3","NL","SL18-OI-7-MG1","OI","SL18-NL-6-F3 / SL18-OI-7-M1","2",1,"3","TBD","7",1,0.28,1,0.28,14.19,0.04,0,"ES"
"112","SL18-UCONN-113",112,"2019","113","GOM","113","5_30_2019",124,NA,"SL18-NL-6-FG3","NL","SL18-SF-13-MG1","SF","SL18-NL-6-F3 / SL18-SF-13-M1","2",1,"3","TBD","2",1,0.18,0.83,0.21686747,14.89,0.03,40,"ES"
"114","SL18-UCONN-115",114,"2019","115","GOM","115","5_30_2019",124,NA,"SL18-NL-7-FG3","NL","SL18-LD-13-MG3","LD","SL18-NL-7-F3 / SL18-LD-13-M3","2",1,"1","TBD","7",1,0.1,0.89,0.112359551,17.04,0.02,40,"ES"
"115","SL18-UCONN-116",115,"2019","116","GOM","116","5_30_2019",124,NA,"SL18-NL-7-FG3","NL","SL18-LD-1-MG2","LD","SL18-NL-7-F3 / SL18-LD-1-M2","2",1,"3","TBD","4",1,0.07,0.85,0.082352941,3.29,0,0,"ES"
"12","SL18-UCONN-12",12,"2019","12","GOM","12","5_29_2019",123,NA,"SL18-LD-10-FG2","LD","SL18-NL-3-MG2","NL","SL18-LD-10-F2 / SL18-NL-3-M2","2",1,"2","TBD","1",3,0.96,0.79,1.215189873,11.74,0.11,260,"ES"
"119","SL18-UCONN-120",119,"2019","120","GOM","120","5_31_2019",125,NA,"SL18-NL-9-FG2","NL","SA18-CB-7-MG1","CB","SL18-NL-9-F2 / SA18-CB-7-M1","2",4,"4","TBD","6",3,5.4,0.96,5.625,4.07,0.22,380,"ES"
"120","SL18-UCONN-121",120,"2019","121","GOM","121","5_30_2019",124,NA,"SL18-NL-9-FG2","NL","SL18-SF-19-MG1","SF","SL18-NL-9-F2 / SL18-SF-19-M1","2",4,"3","TBD","4",3,3,0.84,3.571428571,9.25,0.28,580,"ES"
