"","x"
"1","SA18-CB-10"
"2","SL18-LD-10"
"3","SL18-NL-6"
"4","SL18-NL-7"
"5","SL18-NL-9"
"6","SL18-OI-11"
"7","SL18-OI-15"
"8","SL18-OI-16"
"9","SL18-LD-13"
"10","SL18-OI-17"
"11","SL18-OI-18"
"12","SL18-LD-1"
"13","SL18-OI-2"
"14","SL18-OI-4"
"15","SL18-OI-6"
"16","SL18-OI-7"
"17","SL18-OI-9"
"18","SL18-SF-13"
"19","SL18-SF-17"
"20","SL18-SF-18"
"21","SA18-CB-4"
"22","SL18-LD-2"
"23","SL18-LD-3"
"24","SA18-CB-5"
"25","SL18-LD-4"
"26","SL18-LD-5"
"27","SA18-CB-7"
"28","SL18-LD-9"
"29","SL18-LL-9"
"30","SL18-NL-10"
"31","SL18-NL-2"
"32","SL18-NL-3"
"33","SL18-JS-9"
"34","SL18-JS-16"
"35","SL18-NC-12"
"36","SL18-CC-7"
"37","SL18-OI-5"
"38","SA18-CB-2"
"39","SL18-NC-5"
"40","SL18-CC-11"
"41","SL18-CC-1"
"42","SL18-NC-11"
"43","SL18-CC-5"
"44","SL18-JS-5"
"45","SL18-CC-8"
"46","SL18-CC-3"
"47","SL18-OD-5"
"48","SA18-CB-9"
"49","SL18-OD-10"
"50","SL18-CC-12"
"51","SL18-NC-15"
"52","SL18-JS-19"
"53","SL18-NC-10"
"54","SL18-NC-9"
"55","SL18-CC-6"
"56","SL18-NC-8"
"57","SL18-SF-19"
"58","SL18-NL-5"
"59","SL18-NC-2"
"60","SL18-CC-9"
"61","SL18-CC-2"
"62","SL18-NC-1"
"63","SL18-CC-10"
"64","SL18-JS-6"
"65","SL18-OI-14"
"66","SL18-SF-15"
"67","SA18-CB-3"
"68","SA18-CB-1"
"69","SL18-CC-4"
"70","SL18-OD-6"
"71","SL18-JS-11"
"72","SL18-OD-3"
